NAMA DEALER,MODEL,TYPE,REGION,BULAN FAKTUR,QTY
Honda Arizona,ACCORD,EX,Amerika,05/01/2023,1
Honda Arizona,CIVIC,HYBRID,Amerika,01/01/2021,4
Honda Arizona,CIVIC,HYBRID,Amerika,02/01/2021,6
Honda Arizona,CIVIC,HYBRID,Amerika,03/01/2021,5
Honda Arizona,CIVIC,HYBRID,Amerika,04/01/2021,2
Honda Arizona,CIVIC,HYBRID,Amerika,05/01/2021,3
Honda Arizona,CIVIC,HYBRID,Amerika,02/01/2022,1
Honda Arizona,CIVIC,HYBRID,Amerika,09/01/2023,1
Honda Arizona,CIVIC,LX,Amerika,01/01/2021,24
Honda Arizona,CIVIC,LX,Amerika,02/01/2021,21
Honda Arizona,CIVIC,LX,Amerika,03/01/2021,14
Honda Arizona,CIVIC,LX,Amerika,04/01/2021,27
Honda Arizona,CIVIC,LX,Amerika,05/01/2021,31
Honda Arizona,CIVIC,LX,Amerika,06/01/2021,19
Honda Arizona,CIVIC,LX,Amerika,07/01/2021,17
Honda Arizona,CIVIC,LX,Amerika,08/01/2021,22
Honda Arizona,CIVIC,LX,Amerika,09/01/2021,15
Honda Arizona,CIVIC,LX,Amerika,10/01/2021,5
Honda Arizona,CIVIC,LX,Amerika,11/01/2021,22
Honda Arizona,CIVIC,LX,Amerika,12/01/2021,33
Honda Arizona,CIVIC,LX,Amerika,01/01/2022,21
Honda Arizona,CIVIC,LX,Amerika,02/01/2022,18
Honda Arizona,CIVIC,LX,Amerika,03/01/2022,21
Honda Arizona,CIVIC,LX,Amerika,04/01/2022,30
Honda Arizona,CIVIC,LX,Amerika,05/01/2022,33
Honda Arizona,CIVIC,LX,Amerika,06/01/2022,37
Honda Arizona,CIVIC,LX,Amerika,07/01/2022,35
Honda Arizona,CIVIC,LX,Amerika,08/01/2022,38
Honda Arizona,CIVIC,LX,Amerika,09/01/2022,51
Honda Arizona,CIVIC,LX,Amerika,10/01/2022,36
Honda Arizona,CIVIC,LX,Amerika,11/01/2022,67
Honda Arizona,CIVIC,LX,Amerika,12/01/2022,68
Honda Arizona,CIVIC,LX,Amerika,01/01/2023,14
Honda Arizona,CIVIC,LX,Amerika,02/01/2023,26
Honda Arizona,CIVIC,LX,Amerika,03/01/2023,70
Honda Arizona,CIVIC,LX,Amerika,04/01/2023,52
Honda Arizona,CIVIC,LX,Amerika,05/01/2023,55
Honda Arizona,CIVIC,LX,Amerika,06/01/2023,72
Honda Arizona,CIVIC,LX,Amerika,07/01/2023,15
Honda Arizona,CIVIC,LX,Amerika,08/01/2023,41
Honda Arizona,CIVIC,LX,Amerika,09/01/2023,45
Honda Arizona,CIVIC,LX,Amerika,10/01/2023,63
Honda Arizona,CIVIC,LX,Amerika,11/01/2023,47
Honda Arizona,CIVIC,LX,Amerika,12/01/2023,92
Honda Arizona,CIVIC,SI SEDAN,Amerika,02/01/2021,1
Honda Arizona,CIVIC,SI SEDAN,Amerika,04/01/2021,7
Honda Arizona,CIVIC,SI SEDAN,Amerika,05/01/2021,10
